location_id,window_start,window_end,pm25_avg,samples
2914675,2025-09-03 17:00:00,2025-09-03 17:15:00,488.8988342285156,1
3409342,2025-09-07 01:45:00,2025-09-07 02:00:00,0.0,1
2950666,2025-09-09 11:15:00,2025-09-09 11:30:00,3.36,1
3409516,2025-09-11 02:15:00,2025-09-11 02:30:00,19.0,1
3409434,2025-09-11 07:15:00,2025-09-11 07:30:00,16.03,1
2995837,2025-09-12 13:00:00,2025-09-12 13:15:00,7.2,1
8413,2025-09-12 13:00:00,2025-09-12 13:15:00,6.3,1
2875321,2025-09-12 20:00:00,2025-09-12 20:15:00,40.45892826716105,1
225758,2025-09-14 00:00:00,2025-09-14 00:15:00,2.5,1
1542,2025-09-15 01:00:00,2025-09-15 01:15:00,3.5,1
367405,2025-09-15 01:00:00,2025-09-15 01:15:00,7.0,1
228437,2025-09-15 01:00:00,2025-09-15 01:15:00,10.0,1
2891221,2025-09-15 01:00:00,2025-09-15 01:15:00,4.0,1
1329,2025-09-15 01:00:00,2025-09-15 01:15:00,11.0,1
3336,2025-09-15 02:00:00,2025-09-15 02:15:00,13.0,1
3332,2025-09-15 02:00:00,2025-09-15 02:15:00,11.0,1
3235,2025-09-15 02:00:00,2025-09-15 02:15:00,8.0,1
3346,2025-09-15 02:00:00,2025-09-15 02:15:00,5.0,1
3166424,2025-09-15 02:00:00,2025-09-15 02:15:00,6.0,1
3351,2025-09-15 02:00:00,2025-09-15 02:15:00,7.0,1
3226,2025-09-15 02:00:00,2025-09-15 02:15:00,16.0,1
7289,2025-09-15 07:00:00,2025-09-15 07:15:00,5.64,1
2995864,2025-09-15 07:00:00,2025-09-15 07:15:00,1.42,1
2995865,2025-09-15 11:00:00,2025-09-15 11:15:00,8.9,1
3408765,2025-09-15 11:00:00,2025-09-15 11:15:00,154.66749572753906,1
2979626,2025-09-15 13:00:00,2025-09-15 13:15:00,0.0,1
5546,2025-09-15 18:00:00,2025-09-15 18:15:00,0.0,1
3987,2025-09-15 18:00:00,2025-09-15 18:15:00,2.9,1
3409437,2025-09-15 20:45:00,2025-09-15 21:00:00,19.2,1
2995838,2025-09-15 21:00:00,2025-09-15 21:15:00,0.520503,1
